adminCode	adminLevel	date	evi_0	evi_30	evi_60	evi_90	evi_120	evi_150	evi_180	temperature_0	temperature_30	temperature_60	temperature_90	temperature_120	temperature_150	temperature_180	precip_0	precip_30	precip_60	precip_90	precip_120	precip_150	precip_180	spi1_0	spi1_30	spi1_60	spi1_90	spi1_120	spi1_150	spi1_180	spi3_0	spi3_30	spi3_60	spi3_90	spi3_120	spi3_150	spi3_180	spi6_0	spi6_30	spi6_60	spi6_90	spi6_120	spi6_150	spi6_180	variable	cases	windowLength	epiWeek	year	population	logpop	evi_0avg	temperature_0avg	precip_0avg	polyid	adminName	region	precip	spi	y	polyid2	region2	yt	ys
NG029	admin1	2024-05-27	0.456024110700075	0.390778294977789	0.325975628462956	0.3445976450306	0.420702513658056	0.491723090121123	0.533417883102319	28.0214817112	28.4553425855715	28.8373137568572	29.1874031600976	28.7211682591305	28.1073283405128	27.8663560893637	4.786826285	3.2119172	2.167519805	0.707364693333336	0.358279866666669	2.01091215	5.29349724333334	-0.14928235492107	-0.505765693159617	0.16858511821935	0.037129432008085	-0.108335522357415	0.930096205049368	1.09477420455074	-0.50423914259886	-0.264743931089953	0.250713186290219	0.844155470731315	1.12540988416982	1.18272874668804	0.897310659012677	-0.0515915510697937	0.490164342857817	1.06203353691314	0.979275652455283	0.710135749958921	0.92326407773527	1.05330132340515	lassa_confirmed	5	60	22	2024	5559847.44559689	4.01815576303783	0.458027618978586	28.9185536754765	4.95851516011111	29	Ondo	north	2	0.7	5	29	1	44	39
NG032	admin1	2024-05-27	0.184750070834203	0.169816536079733	0.169739485946455	0.187559290057833	0.221446618438611	0.275397996165055	0.347835376691896	33.8871524171353	34.6798492877274	33.848220272654	34.0468537399246	34.0666927667274	33.2249228307309	31.234121366091	2.82612614666667	1.442237275	0.444284709999999	0.0130958216666661	-5.80496299177706e-16	0.382268119999999	1.83066688	0.178118451054783	0.39533479119102	0.767203492970017	1.00166355977741	1.85759546966162	1.81552350214368	1.18374278991241	0.336748853856507	0.491152623588819	0.639683358715313	1.1965534539838	1.17703084048885	0.493153622702448	0.286937762584274	0.469570670220974	0.668335442832878	0.535719392671026	0.312874375392338	0.0211777092764038	-0.243392162814707	-0.214191895168583	lassa_confirmed	0	60	22	2024	4948831.7354018	3.90173662866904	0.201752864170043	35.1073418803266	2.97837548144445	32	Plateau	north	0.25	0	0	32	1	3	3
NG035	admin1	2024-05-27	0.287405081156982	0.221952401877056	0.18911710749719	0.20873933933614	0.263578658681179	0.336115733278917	0.416937618182623	31.4922989328573	33.2744854593501	33.0002840511838	32.8815917639637	32.0162412256492	30.5893269975186	29.1464238544546	4.20141739666669	2.42925293000002	0.789791816666689	0.030704093561991	0.00112207356199096	0.659046968333356	3.88425587666669	-0.0751755777808573	0.546468900583065	0.52490264422546	-1.08921653935527	-2.59532709769315	-0.494493315362676	0.986451079516911	0.42141846380111	0.696877213486672	0.320428673366277	0.777285075731047	1.02417766114142	0.0849145767979456	-0.251288881236247	0.580536938976339	0.733931129721509	0.155730805663532	-0.173052376629856	-0.0935428307556071	-0.087388289646519	-0.149651535170262	lassa_confirmed	0	60	22	2024	3416033.85973349	3.53106528097121	0.289097706970983	32.1139453330544	4.33093722322223	35	Taraba	north	0.5	-0.0999999999999996	0	35	1	0	0
NG005	admin1	2024-06-03	0.158975776653906	0.155844101094362	0.160405085434332	0.172475678434461	0.193563730942379	0.227111647421791	0.289021258489647	37.3626798773194	37.6969754576802	35.6185978716541	32.8745685568891	31.7769307150002	33.6356631124729	34.2515720956983	2.22342307833336	0.598558946666688	0.163364498333355	0.0187692750000212	7.34016666879153e-05	0.00601409833335458	0.139353285000021	0.548375927120204	0.154770692760742	0.52744061784479	-0.261034922195021	-1.65996394170444	-0.381088901812495	0.92059666163224	0.459193969623439	0.173898832522255	0.420666996884747	1.17461358908832	1.25135538724624	0.608301118025231	0.548463528036426	0.588162585415853	0.38386518162909	0.467275627974731	0.570686527289905	0.575178376122191	0.603259719618508	0.771259178563184	lassa_confirmed	1	60	23	2024	7639156.81342877	4.33587232534738	0.17058512214929	38.874870023826	1.97196117535717	5	Bauchi	south	0	0.5	1	5	2	7	6
NG007	admin1	2024-06-03	0.291828274078926	0.240624131109748	0.202684960272334	0.209531837704404	0.280105106334565	0.362453710719043	0.41485228380213	31.5017032268572	33.9660294984546	33.1814172763637	32.8963074020435	31.6352099759608	30.1150029764681	29.061952322	4.08150169999996	2.4685459533333	1.2237695383333	0.321227156666629	0.0459434399999622	0.214009851666629	3.81244687833329	-0.534060888891907	-0.0566655841010854	0.550044614447242	-0.227657898840547	-1.02181005489803	0.0208787615528193	0.918148664649113	-0.334444529856041	0.17621217419686	0.139236182502275	0.276892715477766	0.77403550776959	0.74132344046541	0.626528100988763	-0.279794413217461	0.361206815664348	0.733086899079849	0.637357770239751	0.563301252254393	0.464951505414083	0.31739057434928	lassa_confirmed	0	60	23	2024	6701429.3754001	4.20490593624926	0.325372741344518	31.9263606336363	4.39184648273806	7	Benue	south	0	0.5	0	7	2	0	0
NG011	admin1	2024-06-03	0.333831641238707	0.283374525230081	0.239431986889332	0.251873617339384	0.328565924759554	0.403251627017599	0.439642759694777	30.4393023433335	32.1611335497144	31.4584903470589	31.2862828125	30.1572130951628	28.852657084375	28.5655196933333	5.92466097000002	4.07110980166669	2.23537121833335	0.74778345500002	0.0321228766666867	0.601163333333353	5.91030998333335	-0.478229349512283	-0.148572132759175	0.374353154252014	-1.27686976908526	-2.04349640660885	-0.195589781130078	0.997256198010134	-0.253999923850144	0.0175432978147869	-0.123311206337934	-0.066670262632534	0.717905701379982	1.24611568369455	1.10772632186642	-0.288901602645886	0.473433676871212	1.14258027923232	1.00497419644992	0.765776869809815	0.622140858358912	0.406128002094057	lassa_confirmed	0	60	23	2024	3419787.03015172	3.53216337024412	0.364796062628463	30.3082100428451	6.27757542488097	11	Ebonyi	south	0.5	0.7	0	11	2	1	1
NG012	admin1	2024-06-03	0.512748174627266	0.381913387478451	0.260136692893721	0.285344462738791	0.388929400290082	0.476343401661483	0.506807439281888	28.9345071267687	31.4375145872721	30.8312784101049	30.2424684367998	29.5064394377825	28.9891184022438	28.563718165655	5.79982217833326	3.8933768316666	2.17923624333327	1.10726280499993	0.1676044566666	0.760874494999933	4.2963975666666	-0.165119559642259	-0.423722098288041	0.0565743288786617	-0.037301661172538	-0.285047685941305	0.670036857652168	0.940367800857184	-0.456731628018449	-0.288011378927039	0.0794814110748497	0.576391580374436	0.809627993588123	0.962726698809816	0.692914427752299	-0.202331378781467	0.248925268358974	0.846248998157774	0.749112474534302	0.317986001423282	0.343601148377166	0.337345206728568	lassa_confirmed	2	60	23	2024	5097636.0362571	3.93136200296213	0.463323541137431	29.4837485460226	5.74863814977251	12	Edo	north	0.75	0.3	2	12	1	59	57
NG023	admin1	2024-06-03	0.321289551607727	0.256569061040416	0.210928755698501	0.227638857934064	0.295794107057446	0.359201455814368	0.409013009271168	31.6337188512001	33.5766022846089	32.4577295792668	31.4958328110436	30.2551397215556	29.7388432941601	28.8836433561464	4.56675376166667	2.83818961	1.10954515833333	0.331629361666665	0.064201603333332	0.194594076666665	2.79269795833333	0.0172529885229824	0.167150625084224	0.431600561603866	-0.575500463728098	-1.0716590287289	0.114939139744109	0.776100249502711	0.151335601757304	0.247527910577305	0.121239512223658	-0.00344539440062848	0.409460023424566	1.08881804082393	1.01521218078811	0.089316525517181	0.526862400483373	1.12456276367941	0.98401307489467	0.632713436969005	0.78210616960769	0.931765135473922	lassa_confirmed	1	60	23	2024	4957583.78836626	3.90350357559763	0.368329990296879	30.4765635815476	4.48400638369046	23	Kogi	north	0	0.6	1	23	1	1	0
NG029	admin1	2024-06-03	0.46413416326303	0.409123537662504	0.33439918161639	0.332509389680813	0.400899670238075	0.478323670410718	0.525796328080871	27.5300571064706	28.483983926	28.9596132493044	29.1572254055898	28.6737505107234	28.1996238706342	28.0130527622963	5.59656391333334	3.62707414833334	2.41483130166667	1.21379298833334	0.103034281666669	1.06995972	4.40231544833334	-0.0328412765809441	-0.501728329201774	0.079244402802905	0.0735171417953975	-0.143659289486128	0.722495974130094	1.07229755399251	-0.499295133698379	-0.335563468013435	0.122086393869523	0.721078161569587	1.08363208789277	1.17748079817192	0.966462044408261	-0.119038180523445	0.362360266222769	0.982991421646984	1.01092031556813	0.743145080020034	0.875888664611456	1.02815848350921	lassa_confirmed	0	60	23	2024	5559847.44559689	4.01815576303783	0.472400930717983	28.5669407178045	5.43923038928572	29	Ondo	north	1	0.7	0	29	1	34	34
NG032	admin1	2024-06-03	0.192045050241033	0.17148707920834	0.168491130679666	0.181413441477037	0.211980867404425	0.260800063569344	0.331262844630573	32.8392292504446	34.4548119208097	34.6651341846532	34.1424222206794	33.3589418107274	33.4730808550944	31.8969523999601	3.50986345666667	1.70783514833333	0.657488988333333	0.0722548999999994	-5.80496299177706e-16	0.0313499549999994	0.950414488333333	0.192545269594816	0.33588274835779	0.701768919124416	0.931473308684862	1.00166355977736	1.85759546966185	1.27793725052255	0.335328151342882	0.460109806686639	0.567126263706879	1.09465623362256	1.23093930086996	0.626007034371867	0.330460905911166	0.454876790555361	0.643248718481082	0.573928054574865	0.368662835752271	0.0889484735499829	-0.197098308149464	-0.22086869230859	lassa_confirmed	0	60	23	2024	4948831.7354018	3.90173662866904	0.213078614796628	34.0201756921875	3.44290816630953	32	Plateau	north	0	0	0	32	1	0	0
NG035	admin1	2024-06-03	0.305665437818093	0.234442403641578	0.192303007975112	0.199661109355078	0.248831770168334	0.317982315239545	0.399778777897167	30.2176521361144	32.888501370158	33.5931393849788	33.1053933292223	31.7160127778597	30.9121707150371	29.7078983764784	4.56791148500002	2.95317427666669	1.25567059500002	0.154931233561991	0.00110545189532429	0.168675465000023	2.88233985000002	-0.181998667797413	0.435374538459733	0.664907904430639	-0.706389689144344	-2.41349448335643	-0.979088525507219	0.703126621883302	0.328097939963565	0.679440664017269	0.336702598925315	0.675894730162128	1.05460890778399	0.270199470867794	-0.180386750525436	0.485679252892279	0.750998728616555	0.271916709191148	-0.119008560674372	-0.107707844273157	-0.0860107897796249	-0.135820462190537	lassa_confirmed	0	60	23	2024	3416033.85973349	3.53106528097121	0.309841082262036	31.0008461119385	4.92290675309524	35	Taraba	north	0	-0.2	0	35	1	2	2
NG005	admin1	2024-06-10	0.162182322090043	0.155578797107369	0.158843136849843	0.168558504900421	0.188236086153116	0.217689451334982	0.271379595004965	36.5338258719113	37.9328247093336	36.6620268300387	32.9699870508681	31.4844234548216	33.6137469263573	34.4006474849436	2.48747479833336	0.966094121666688	0.318707928333355	0.0446400116666879	0.000156885000021249	0.00302749833335458	0.127150125000021	0.585787253495421	0.251700005299707	0.408620797728564	-0.0304730737048834	-1.31437618593983	-0.81353519024148	0.649971498984637	0.550947898380329	0.236388131904739	0.342957346566473	0.983583298928633	1.26807374179396	0.779352880415099	0.530012888039847	0.654308858356983	0.428224288172965	0.438181131190906	0.547321207748716	0.578593722357389	0.591863995060224	0.726426321676887	lassa_confirmed	1	60	24	2024	7639156.81342877	4.33587232534738	0.175542180203091	38.2437067761317	2.35488073880955	5	Bauchi	south	0	0.5	1	5	2	8	7
NG007	admin1	2024-06-10	0.307560763982023	0.250373955660519	0.210098755488922	0.2013700259406	0.260164915291379	0.34585870002285	0.405296769550483	30.1011798656364	33.356525348	34.034243151742	32.8207278145582	31.752894214902	30.670787320898	29.2920348241396	4.35609113666663	2.4836658283333	1.60547737499996	0.820400576666629	0.0349269483332956	0.150797154999962	3.03232595499996	-0.39792492569308	-0.201596690244573	0.409873329546345	0.00328836010630278	-0.845636702991308	-0.30993608946321	0.737816182783406	-0.342028194173791	0.0414016424735264	0.174680682097011	0.234378341277482	0.643338400767936	0.769705628937212	0.654385369047598	-0.29469679517615	0.193462259512336	0.659271667100139	0.674487186770502	0.576611193984143	0.492321286868631	0.353135352755669	lassa_confirmed	1	60	24	2024	6701429.3754001	4.20490593624926	0.344602318524362	30.8176192953046	4.78263509702378	7	Benue	south	0	0.5	1	7	2	2	1
NG011	admin1	2024-06-10	0.346083921829321	0.295645861023166	0.246769795427644	0.240434556625555	0.308630723280554	0.390083791127455	0.433361237250943	29.7226856355002	31.9116828746668	31.8951565556923	31.1349210983448	30.2719058377619	29.4286006062941	28.4202215763158	5.79277017000002	3.97359474666669	2.89956661500002	1.58141990833335	0.00553695000002001	0.427508828333353	4.70335191333335	-0.342683100416469	-0.255438232791847	0.251878467347027	-0.81346749173984	-1.92152140357132	-0.730495336993478	0.770870987856342	-0.265476397181556	-0.0534445165994073	-0.0705019805679821	-0.0900442437485957	0.50289922767969	1.13526596857713	1.17211375579184	-0.305735956068112	0.272277265055592	0.993219425368457	1.06500058087039	0.820746844384952	0.655626202689608	0.460383830711947	lassa_confirmed	0	60	24	2024	3419787.03015172	3.53216337024412	0.37962433918417	29.6517182744378	6.56053205190478	11	Ebonyi	south	0.25	0.8	0	11	2	5	5
NG012	admin1	2024-06-10	0.527364441404577	0.418597556626444	0.276171689652077	0.267208469803943	0.364434453760997	0.462220210556216	0.504438456561529	28.8002321938457	30.4980109685449	30.7966887527496	30.2025116398708	29.711956832909	29.167834694238	28.6775205794998	5.67141966833326	3.87442788833327	2.88715515833327	1.6857267066666	0.0573935916665997	0.5920198716666	3.3091834516666	-0.181579101002342	-0.354093113720577	-0.0898647558076418	0.0105017337929855	-0.225239477999155	0.394404202816254	0.923978586946762	-0.469903107959006	-0.330812403474645	-0.0160043918393754	0.457298196780582	0.768140474607062	0.925302461228188	0.780808250400554	-0.271336244561311	0.136931522943657	0.699799320823361	0.797795335099762	0.428964841781276	0.318642299120274	0.344905214358137	lassa_confirmed	1	60	24	2024	5097636.0362571	3.93136200296213	0.4811774783042	29.1596183388434	6.1434142304868	12	Edo	north	0.5	0.4	1	12	1	53	52
NG023	admin1	2024-06-10	0.338063359631401	0.270748910550297	0.217767676445401	0.216277160006034	0.278838330481029	0.347404834842212	0.397376992067863	30.9697369200001	33.8129968679093	33.2209320306668	31.3443411783257	30.2796895144906	29.9947305396863	29.1757127742791	4.42068628166667	2.97194611833333	1.744759005	0.730377036666665	0.027358058333332	0.148435594999999	2.02300953166667	0.0666266320674874	0.121733314089295	0.36597586954959	-0.294261773514988	-0.988982368571301	-0.225321126769379	0.658521504459453	0.146856057440401	0.22318092421869	0.160394225695789	0.0240998168486593	0.288337464183654	0.920196708466329	1.07416705829942	0.0973801871935723	0.409201031051817	0.979626275687949	1.04415129695079	0.719049691176968	0.726551712801756	0.90079931834025	lassa_confirmed	0	60	24	2024	4957583.78836626	3.90350357559763	0.38675751009515	29.8242523459825	4.85215067619046	23	Kogi	north	0	0.7	0	23	1	1	1
NG029	admin1	2024-06-10	0.468994573345556	0.42573386113576	0.348373808843956	0.324469475868134	0.382022774726846	0.463652020784267	0.517195131258155	27.3649303003158	28.4361423665714	28.578705971	28.9541077919412	28.7788448298696	28.4376338056364	28.1895184976667	5.76162121666667	3.36654096333334	2.96367032166667	1.92121224	0.0640781000000021	0.793283020000002	3.37414960333334	0.0809296798499081	-0.394462163116342	-0.0988021481422103	0.102450873750513	-0.0886366351183243	0.469634214329548	1.02901888257503	-0.43762118711123	-0.38689954288726	0.00435542540359565	0.577923603875866	1.01074790006102	1.16163312869302	1.03228234510211	-0.138668366158933	0.236374930525033	0.833000571580716	1.02647651336879	0.815010906413371	0.82544212536938	0.99623409914323	lassa_confirmed	4	60	24	2024	5559847.44559689	4.01815576303783	0.484053073288286	28.321193088295	5.87380491821429	29	Ondo	north	0.75	0.8	4	29	1	48	44
NG032	admin1	2024-06-10	0.201222909603344	0.174079682571185	0.168092409295188	0.176327253396589	0.204005490704944	0.247701281106577	0.313675353513111	31.6494641790287	34.5459956674873	34.9567421444899	33.7328882476155	33.2042130992728	33.9840330946794	32.6576962680401	3.61725839666667	2.00721948833333	1.10661485	0.229005866666666	0.00018033999999942	0.00796793999999942	0.753687384999999	0.277702042476425	0.287867527439483	0.608506358449035	0.8619678405298	1.0016635597774	1.85759546966185	1.38585234451125	0.375113915026875	0.422565168868772	0.544003851497035	0.956186228216005	1.220474043122	0.793709931885732	0.379976080586774	0.483856356064795	0.590390182054093	0.602660737957739	0.419506135684066	0.157099834980265	-0.130666476758983	-0.22772366159306	lassa_confirmed	0	60	24	2024	4948831.7354018	3.90173662866904	0.225793270961241	33.2038496281219	3.703462225	32	Plateau	north	0	0.1	0	32	1	0	0
NG035	admin1	2024-06-10	0.324162277288345	0.248734885917575	0.198885639099434	0.192875741221467	0.235418262835862	0.300826837242834	0.380351683053584	28.8454906252223	32.1474628341054	34.1721681095455	33.0003740803847	31.7216602177896	31.3441917371637	30.1323087544899	4.75887462000002	3.17171071333336	1.71622505333336	0.629001895228658	0.00113654356199096	0.104376795000023	2.16772195166669	-0.252082105930496	0.279989720473467	0.628861251085725	-0.331648544205708	-2.01045336996478	-1.4709872213899	0.338633597504091	0.205995183526279	0.600912168299307	0.446320959878771	0.567709408528608	0.97020600237657	0.499671093994549	-0.0996428682965805	0.348772793399465	0.699119053508663	0.412529793700388	-0.0353922317889232	-0.127595310642587	-0.088303150076663	-0.121080235764097	lassa_confirmed	0	60	24	2024	3416033.85973349	3.53106528097121	0.329594239839267	30.0787995047934	5.22604036964286	35	Taraba	north	0	-0.2	0	35	1	2	2
